site,site_name,plot,year,survey_round,survey_date,treat_cont,start,point,minute,species,distance,how,sex,visual,migrating,cluster_size,cluster_code
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,1,yrwa,26,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,1,lisp,43,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,1,deju,25,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,1,amro,65,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,1,attw,73,d,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,1,heth,85,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,2,heth,92,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,2,deju,45,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,2,yrwa,34,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,2,pisi,26,cf,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,2,yrwa,45,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,3,deju,27,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,3,moch,46,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,3,heth,52,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,4,hawo,65,d,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,4,yrwa,26,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,5,weta,41,s,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,5,weta,27,cs,,,,,
4a,wt_treat,4a3,2016,3,7/7/2016,t,,3,6,attw,73,d,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,6:15,4,1,moch,26,,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,1,moch,41,,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,1,yrwa,26,,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,1,heth,45,s,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,1,evgr,23,s,,,,4,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,1,rcki,28,s,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,1,moch,57,s,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,1,yrwa,62,s,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,1,moch,75,,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,2,resq,31,c,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,2,pisi,24,cf,,,,3,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,3,heth,85,s,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,3,amro,81,cf,,y,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,4,yrwa,43,s,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,4,pisi,22,cf,,,,2,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,4,deju,45,s,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,5,deju,53,s,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,5,attw,31,c,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,5,evgr,21,c,,,,,
4a,wt_treat,4a4,2016,3,7/7/2016,t,,4,6,nobi,,,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,6:26,5,1,moch,36,s,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,1,heth,59,s,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,1,deju,25,c,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,1,chsp,25,s,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,1,weta,43,s,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,1,amro,59,s,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,2,pisi,8,cf,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,2,brcr,6,cs,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,2,heth,21,c,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,3,nobi,,,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,4,recr,18,cs,,,,3,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,4,cofl,23,cs,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,5,amro,58,s,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,5,brcr,5,s,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,5,pisi,23,cf,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,6,recr,48,c,,,,5,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,6,pisi,25,cf,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,6,heth,89,s,,,,,
4a,wt_treat,4a5,2016,3,7/7/2016,t,,5,6,rcki,67,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,6:38,6,1,cofl,23,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,1,rcki,45,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,1,lisp,26,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,1,attw,58,cd,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,1,heth,35,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,1,heth,65,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,1,yrwa,24,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,2,amro,43,c,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,2,heth,79,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,3,pisi,15,cf,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,3,resq,24,c,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,3,weta,38,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,3,deju,48,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,4,pisi,31,cf,,,,3,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,4,weta,27,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,4,deju,43,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,5,nobi,,,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,6,chsp,49,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,6,brcr,6,cs,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,6,yrwa,23,s,,,,,
4a,wt_treat,4a6,2016,3,7/7/2016,t,,6,6,yrwa,53,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,6:52,7,1,gcki,15,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,1,rcki,25,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,1,heth,61,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,1,yrwa,27,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,1,graj,96,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,1,heth,89,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,1,pisi,27,c,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,2,amro,58,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,2,moch,23,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,2,brcr,9,c,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,2,rcki,22,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,2,deju,25,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,2,gcki,38,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,3,deju,65,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,3,pigr,23,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,3,deju,68,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,3,cofl,53,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,4,pisi,45,cf,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,4,yrwa,56,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,4,amro,22,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,4,pigr,47,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,5,pigr,36,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,5,rbnu,87,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,5,yrwa,34,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,6,graj,58,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,6,deju,27,s,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,6,moch,35,c,,,,,
4a,wt_treat,4a7,2016,3,7/7/2016,t,,7,6,moch,41,c,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,7:06,8,1,heth,26,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,1,amro,45,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,1,amro,56,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,1,chsp,53,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,1,pisi,45,cf,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,1,cora,75,c,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,1,graj,41,c,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,2,graj,18,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,2,pigr,27,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,3,graj,34,cs,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,3,heth,26,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,3,pisi,26,cf,,,,3,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,4,pisi,45,cf,,,,2,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,4,amro,63,c,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,4,yrwa,34,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,5,nobi,,,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,6,weta,41,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,6,pigr,56,s,,,,,
4a,wt_treat,4a8,2016,3,7/7/2016,t,,8,6,heth,89,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,7:21,9,1,heth,57,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,1,cora,86,c,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,1,lisp,27,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,1,pigr,41,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,1,lisp,53,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,2,lisp,26,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,2,heth,67,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,2,graj,47,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,2,brcr,5,c,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,3,rcki,53,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,3,attw,86,d,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,4,nobi,,,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,5,brcr,20,c,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,5,amro,63,c,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,5,rbnu,52,s,,,,,
4a,wt_treat,4a9,2016,3,7/7/2016,t,,9,6,nobi,,,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,5:57,1,1,moch,100,c,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,1,moch,112,s,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,1,heth,87,s,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,1,rcki,62,s,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,1,attw,45,d,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,1,attw,57,c,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,2,attw,53,d,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,2,pisi,64,c,,,,2,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,3,clnu,155,c,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,3,hawo,137,c,,,,2,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,4,btlh,39,m,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,4,evgr,44,c,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,4,rcki,28,s,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,4,evgr,18,c,,,,,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,5,recr,121,c,,,,2,
11b,tv_cont,11b1,2016,1,6/26/2016,c,,1,6,graj,73,c,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,6:10,2,1,rcki,41,s,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,1,heth,60,s,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,1,btlh,31,m,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,1,brcr,35,s,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,1,moch,38,s,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,2,attw,70,c,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,2,weta,66,s,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,2,clnu,51,c,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,2,clnu,30,c,,y,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,3,clnu,128,c,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,3,hawo,95,c,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,3,amro,77,c,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,3,clnu,25,v,,y,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,4,nobi,,,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,5,resq,13,c,,,,2,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,5,chsp,46,s,,,,,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,5,recr,120,c,,,,4,
11b,tv_cont,11b2,2016,1,6/26/2016,c,,2,6,heth,67,s,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,6:26,3,1,gcki,28,cs,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,1,amro,36,c,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,1,chsp,51,s,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,1,yrwa,48,s,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,1,moch,65,s,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,1,rcki,70,s,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,1,resq,36,c,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,2,weta,57,s,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,2,deju,28,c,m,y,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,2,moch,25,c,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,2,attw,40,c,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,3,hawo,35,c,f,y,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,3,heth,95,s,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,3,chsp,40,s,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,3,resq,18,c,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,4,graj,22,v,,y,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,4,hawo,17,v,m,y,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,5,attw,24,v,m,y,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,6,resq,30,c,,,,,
11b,tv_cont,11b3,2016,1,6/26/2016,c,,3,6,btlh,35,m,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,6:39,4,1,graj,40,c,,,,2,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,1,rcki,49,c,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,1,yrwa,118,s,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,1,brcr,56,s,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,1,heth,88,s,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,2,cofl,38,c,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,3,rcki,36,s,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,3,hawo,115,c,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,4,deju,40,v,,y,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,5,moch,68,c,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,5,chsp,40,s,,,,,
11b,tv_cont,11b4,2016,1,6/26/2016,c,,4,6,attw,37,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,7:00,5,1,attw,50,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,1,amro,47,s,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,1,moch,38,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,1,gcki,29,s,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,1,rcki,50,s,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,1,attw,51,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,1,attw,103,d,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,2,pisi,68,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,2,evgr,86,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,2,recr,78,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,3,pisi,25,cs,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,3,pisi,22,cs,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,3,hawo,40,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,3,unwo,70,d,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,3,unwo,54,d,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,4,nobi,,,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,5,graj,108,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,6,weta,135,s,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,6,rcki,92,c,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,6,yrwa,88,s,,,,,
11b,tv_cont,11b5,2016,1,6/26/2016,c,,5,6,graj,75,c,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,7:14,6,1,attw,29,c,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,1,yrwa,37,s,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,1,deju,10,cs,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,1,rcki,32,s,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,1,yrwa,58,s,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,2,clnu,117,c,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,2,pisi,34,c,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,2,pisi,46,cs,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,3,chsp,31,s,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,3,deju,50,s,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,4,resq,38,c,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,4,weta,80,s,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,5,resq,75,c,,,,,
11b,tv_cont,11b6,2016,1,6/26/2016,c,,6,6,nobi,,,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,7:30,7,1,weta,39,s,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,1,heth,98,s,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,1,rcki,77,s,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,1,yrwa,34,s,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,1,rcki,51,s,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,2,yrwa,102,s,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,2,attw,128,d,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,3,pisi,20,c,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,3,unwo,36,d,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,4,recr,130,c,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,5,attw,44,c,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,5,graj,68,c,,,,,
11b,tv_cont,11b7,2016,1,6/26/2016,c,,7,6,brcr,13,v,,y,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,7:45,8,1,attw,8,c,f,y,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,1,rcki,39,s,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,1,rcki,57,s,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,1,hawo,77,c,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,1,clnu,131,c,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,2,hawo,148,c,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,2,moch,188,s,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,3,heth,120,s,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,3,wcsp,275,s,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,4,resq,90,c,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,4,chsp,128,s,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,5,osfl,146,c,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,5,attw,103,d,,,,,
11b,tv_cont,11b8,2016,1,6/26/2016,c,,8,6,btlh,61,m,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,7:59,9,1,rcki,92,s,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,1,rcki,64,s,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,1,rcki,27,s,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,1,deju,48,s,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,1,gtto,88,s,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,1,resq,50,c,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,2,unwo,64,d,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,2,attw,71,c,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,3,osfl,111,c,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,4,wcsp,182,s,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,4,lisp,140,s,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,5,attw,100,c,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,5,pigr,122,s,,,,,
11b,tv_cont,11b9,2016,1,6/26/2016,c,,9,6,btlh,48,m,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,6:36,1,1,yrwa,24,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,1,hawo,73,c,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,1,rcki,15,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,1,yrwa,22,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,1,deju,18,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,1,pisi,9,cf,,,,2,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,1,resq,21,c,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,1,pisi,33,cf,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,1,rbnu,45,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,1,attw,13,c,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,2,rbnu,37,c,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,2,deju,49,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,2,deju,59,s,,,,3,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,3,moch,17,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,3,attw,1,cd,,y,,2,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,4,brcr,3,cs,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,5,heth,83,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,5,moch,66,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,5,hawo,27,d,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,5,weta,34,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,6,nofl,63,c,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,6,amro,18,s,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,6,yrwa,25,cs,,,,,
11b,tv_cont,11b1,2016,2,7/3/2016,c,,1,6,moch,37,cs,,,,2,
11b,tv_cont,11b2,2016,2,7/3/2016,c,6:57,2,1,hawo,59,d,,,,,
11b,tv_cont,11b2,2016,2,7/3/2016,c,,2,1,deju,19,s,,,,,
