site,site_name,plot,year,survey_round,survey_date,treat_cont,start,point,minute,species,distance,how,sex,visual,migrating,cluster_size,cluster_code
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,2,wewp,47,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,2,rbnu,53,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,3,rbnu,63,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,3,yrwa,51,s,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,4,moch,39,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,4,graj,58,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,5,resq,50,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,5,deju,54,s,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,6,stja,37,v,,y,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,6,pisi,49,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,6,rcki,60,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,0916,8,1,howr,32,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,howr,29,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,rcki,47,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,deju,30,c,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,yrwa,51,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,howr,27,c,,y,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,2,deju,41,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,2,deju,60,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,2,heth,20,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,3,weta,20,v,f,y,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,4,pisi,54,c,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,5,pisi,19,c,,,,2,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,5,yrwa,46,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,6,weta,52,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,6,weta,21,v,m,y,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,6,wavi,62,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,6,resq,30,c,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,0945,9,1,ssha,28,v,,y,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,moch,31,c,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,cofl,26,c,,y,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,rcki,43,s,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,deju,62,s,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,yrwa,50,s,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,2,deju,57,s,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,2,rbnu,57,c,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,3,deju,72,s,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,4,rcki,35,v,,y,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,4,yrwa,36,c,,y,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,5,nobi,NA,NA,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,6,pisi,58,c,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,6,deju,17,v,,y,,2,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,6,wavi,22,v,,y,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,6,weta,62,c,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,0603,1,1,yrwa,22,s,,n,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,1,yrwa,27,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,1,wewp,39,c,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,1,wavi,65,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,1,rbnu,54,c,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,1,wavi,52,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,1,rcki,46,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,1,deju,42,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,1,brcr,31,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,2,moch,28,c,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,2,yrwa,42,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,2,rcki,68,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,2,weta,66,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,3,nobi,NA,NA,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,4,weta,70,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,5,yrwa,43,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,5,heth,97,s,,,,,
5b,sm_cont,5b1,2014,2,6/23/2014,c,,1,6,cofl,48,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,0618,2,1,deju,38,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,1,yrwa,23,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,1,rcki,49,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,1,weta,46,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,1,cofl,37,c,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,1,deju,44,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,1,weta,53,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,2,clnu,61,c,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,2,rcki,70,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,3,heth,94,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,3,yrwa,36,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,4,nobi,NA,NA,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,5,unwo,58,d,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,5,resq,44,c,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,6,yrwa,41,s,,,,,
5b,sm_cont,5b2,2014,2,6/23/2014,c,,2,6,moch,36,c,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,0631,3,1,rcki,37,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,1,rcki,14,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,1,weta,32,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,1,rcki,55,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,1,yrwa,12,s,m,y,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,1,clnu,51,c,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,2,cafi,21,v,f,y,,1,a
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,2,cafi,21,v,m,y,,1,a
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,2,resq,38,c,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,2,chsp,42,s,,y,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,3,yrwa,27,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,4,evgr,24,c,m,y,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,5,deju,48,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,5,resq,30,c,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,5,pisi,12,v,u,y,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,6,deju,44,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,6,weta,50,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,6,heth,89,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,6,unwo,62,d,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,6,rcki,65,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,6,deju,26,v,,y,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,6,weta,61,s,,,,,
5b,sm_cont,5b3,2014,2,6/23/2014,c,,3,6,pisi,53,c,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,0649,4,1,rbnu,41,c,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,1,moch,27,c,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,1,deju,46,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,1,rcki,38,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,1,yrwa,36,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,2,yrwa,33,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,2,rcki,62,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,2,yrwa,40,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,2,rcki,58,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,2,pisi,60,c,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,3,evgr,47,c,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,3,unwo,71,d,,,,,
