site,site_name,plot,year,treat_cont,species,snag_dbh,stump_dbh,tree_dbh,status,crwn_ratio,core_outsideplot
5b,sm_cont,5b2,2014,c,abla,,,12,li,40,
5b,sm_cont,5b2,2014,c,pien,,,21,li,40,y
5b,sm_cont,5b2,2014,c,pien,,,57,li,90,y
5b,sm_cont,5b2,2014,c,abla,,,10,li,30,
5b,sm_cont,5b2,2014,c,abla,,,16,li,25,
5b,sm_cont,5b2,2014,c,pien,,,15,li,30,y
5b,sm_cont,5b2,2014,c,abla,27,,,sn,,
5b,sm_cont,5b2,2014,c,pien,,,15,li,20,
5b,sm_cont,5b2,2014,c,pien,,,8,li,10,
5b,sm_cont,5b2,2014,c,abla,,,9,li,10,
5b,sm_cont,5b2,2014,c,abla,,,28,tw,,
5b,sm_cont,5b2,2014,c,pien,,,49,tw,,
5b,sm_cont,5b2,2014,c,abla,,,13,li,10,
5b,sm_cont,5b2,2014,c,abla,,,16,tw,,
5b,sm_cont,5b2,2014,c,abla,,,10,de,,
5b,sm_cont,5b2,2014,c,abla,,,6,de,,
